Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Ann-Sofie Maria Jrnstrm,F,22.0,173.0,62.0,Sweden,SWE,1972 Winter,1972,Winter,Sapporo,Speed Skating,Speed Skating Women's 500 metres,No Medal,173.0,62.0
"Thomas Sherlock ""Tom"" Hodgson",M,32.0,180.0,68.0,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",No Medal,180.0,68.0
Novak okovi,M,25.0,188.0,80.0,Serbia,SRB,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,No Medal,188.0,80.0
Stefania Biegun,F,32.0,160.0,60.0,Poland,POL,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,160.0,60.0
Kenia Marsha Sinclair,F,28.0,170.0,58.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,No Medal,170.0,58.0
Pavel Nikolayevich Lagun,M,25.0,183.0,74.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,No Medal,183.0,74.0
Ian Myron Quartermain,M,23.0,170.0,82.0,Cambria,AUS,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,No Medal,170.0,82.0
Sergey Shvagirev,M,21.0,176.0,72.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Nordic Combined,Nordic Combined Men's Individual,No Medal,176.0,72.0
"Christina Louise ""Tina"" Cullen",F,30.0,164.0,58.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,No Medal,164.0,58.0
Sawao Kato,M,29.0,163.0,59.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Individual All-Around,Silver,163.0,59.0
Kim Hak-Bong,M,27.0,168.0,69.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Lightweight,No Medal,168.0,69.0
Philippe Chartrand,M,24.0,160.0,70.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,No Medal,160.0,70.0
"Ashley Jason ""Ash"" Delaney",M,22.0,185.0,82.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,No Medal,185.0,82.0
Duan Janiijevi,M,21.0,188.0,70.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",No Medal,188.0,70.0
Somchai Cimlum,M,24.0,179.0,73.0,Thailand,THA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Middleweight,No Medal,179.0,73.0
Joanna Danuta Bartosz (-Bronarska),F,18.0,154.0,42.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,No Medal,154.0,42.0
William Ralph Johnson,M,36.0,175.0,74.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",No Medal,175.0,74.0
"Marie Susan Walther (-Bilski, -Kuhlman)",F,19.0,155.0,48.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No Medal,155.0,48.0
"Elizabeth ""Liz"" Stephen",F,23.0,157.0,48.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,No Medal,157.0,48.0
Alexandra Lindsay Croak,F,16.0,165.0,55.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,No Medal,165.0,55.0
Serafin Wiestner,M,23.0,185.0,80.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,No Medal,185.0,80.0
Patricia Girard-Lno,F,20.0,164.0,51.0,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,No Medal,164.0,51.0
Teresa Barbara Ciepy-Wieczorek,F,22.0,166.0,60.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,166.0,60.0
Naoko Imoto,F,20.0,172.0,60.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal,172.0,60.0
Alojz Petrovi,M,28.0,166.0,67.0,Yugoslavia,YUG,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,166.0,67.0
Fabrice Guelzec,M,24.0,165.0,60.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,165.0,60.0
Ihor Volodymyrovych Chervynskiy,M,26.0,180.0,73.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,No Medal,180.0,73.0
Frans Swart,M,38.0,180.0,110.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Trap,No Medal,180.0,110.0
Mykola Valeriyovych Butsenko,M,25.0,170.0,56.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,No Medal,170.0,56.0
Kunihiko Nakamura,M,25.0,188.0,77.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,No Medal,188.0,77.0
Abdulaziz Hussain Haykal Mubarak Al-Balooshi,M,21.0,178.0,66.0,United Arab Emirates,UAE,2012 Summer,2012,Summer,London,Football,Football Men's Football,No Medal,178.0,66.0
Oleksandr Volodimyrovich Obolonchyk,M,22.0,192.0,83.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'s Doubles,No Medal,192.0,83.0
Igor Cassina,M,26.0,180.0,73.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,180.0,73.0
Mao Asada,F,23.0,163.0,50.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,No Medal,163.0,50.0
Roberto Menndez Lpez,M,22.0,180.0,70.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,180.0,70.0
douard Didier,M,20.0,176.0,63.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",No Medal,176.0,63.0
Ryszard Marzec,M,28.0,176.0,80.0,Poland,POL,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,No Medal,176.0,80.0
Oleksandr Shaposhnyk,M,21.0,177.0,58.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Flyweight,No Medal,177.0,58.0
Amanda Harrison (-Kirby),F,19.0,154.0,51.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,154.0,51.0
Hans Sture (-Hans Lindmajstrhle) Magnusson,M,23.0,181.0,81.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres",No Medal,181.0,81.0
Predrag Joki,M,25.0,188.0,102.0,Montenegro,MNE,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,No Medal,188.0,102.0
Wanda Soprani,F,20.0,156.0,55.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,156.0,55.0
"Peter ""Pete"" Williamson",M,21.0,172.0,62.0,Canada,CAN,1968 Winter,1968,Winter,Grenoble,Speed Skating,Speed Skating Men's 500 metres,No Medal,172.0,62.0
Cheikh Touradou Diouf,M,24.0,175.0,68.0,Senegal,SEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,No Medal,175.0,68.0
Sophie Roberge,F,26.0,161.0,63.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,No Medal,161.0,63.0
Mihai iu,M,26.0,168.0,69.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team",No Medal,168.0,69.0
Daniel Goodfellow,M,19.0,167.0,58.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Bronze,167.0,58.0
Ral Marcelo Vzquez Vzquez,M,24.0,178.0,82.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,178.0,82.0
Andrea Nuti,M,29.0,185.0,75.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,185.0,75.0
Tetsuya Tateno,M,20.0,177.0,73.0,Japan,JPN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,No Medal,177.0,73.0
Cristian Mauro Soldano,M,28.0,170.0,70.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,No Medal,170.0,70.0
Beat Koch,M,25.0,181.0,73.0,Switzerland,SUI,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,181.0,73.0
Jules Randrianarivelo,M,23.0,167.0,56.0,Madagascar,MAD,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,No Medal,167.0,56.0
Manuel Antonio Leonida Mora Sibaja,M,49.0,175.0,61.0,Costa Rica,CRC,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",No Medal,175.0,61.0
Alejandra S. Palma,F,28.0,168.0,69.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,No Medal,168.0,69.0
Bror Rune Johnsson,M,31.0,168.0,70.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No Medal,168.0,70.0
Klemen Bauer,M,20.0,183.0,72.0,Slovenia,SLO,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,No Medal,183.0,72.0
Amanda Coetzer,F,28.0,157.0,53.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,No Medal,157.0,53.0
Brbel Struppert (Schrickel-),F,21.0,158.0,50.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,158.0,50.0
Ricardo Antonio Roberty Moreno,M,29.0,172.0,74.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",No Medal,172.0,74.0
Vlado epanovi,M,24.0,196.0,100.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,No Medal,196.0,100.0
Spyridon Kontosoros,M,24.0,172.0,61.0,Greece,GRE,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",No Medal,172.0,61.0
Charlie Balea,M,20.0,168.0,57.0,Philippines,PHI,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,No Medal,168.0,57.0
Sonja Lehmann (-Dittbrenner),F,24.0,172.0,65.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold,172.0,65.0
Mihai Rdulescu,M,21.0,175.0,76.0,Romania,ROU,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,No Medal,175.0,76.0
Satomi Ono,F,22.0,175.0,70.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,175.0,70.0
Karin Rger-Schulze,F,24.0,182.0,79.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's High Jump,No Medal,182.0,79.0
Diogo de Castro Malta Madeira,M,18.0,182.0,76.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,No Medal,182.0,76.0
Jzsef Remetz,M,25.0,181.0,94.0,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,No Medal,181.0,94.0
Marina Kielmann,F,20.0,172.0,59.0,West Germany,FRG,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Women's Singles,No Medal,172.0,59.0
Robert Van Lancker,M,20.0,173.0,74.0,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's Sprint,No Medal,173.0,74.0
Maria Elisa Guimares Zanini,F,17.0,170.0,63.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Freestyle,No Medal,170.0,63.0
Morten Gert Espersen,M,29.0,183.0,78.0,Denmark,DEN,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,No Medal,183.0,78.0
Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,181.0,73.0
"Audrey ""Mickey"" Patterson (-Tyler)",F,21.0,170.0,51.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,No Medal,170.0,51.0
Krisztina Egyed,F,15.0,180.0,75.0,Hungary,HUN,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Women's 500 metres,No Medal,180.0,75.0
Ji Seung-Hyeon,M,25.0,179.0,71.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,No Medal,179.0,71.0
Dashzevgiin Namjilmaa,F,24.0,172.0,78.0,Mongolia,MGL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Discus Throw,No Medal,172.0,78.0
Nicols Martn Pareja,M,24.0,177.0,70.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,177.0,70.0
Wang Jue Gu,F,32.0,155.0,63.0,Singapore,SGP,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Women's Singles,No Medal,155.0,63.0
Alberto Jorge Rodrigues Matos,M,28.0,187.0,70.0,Portugal,POR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,187.0,70.0
Mirela Skoko-Kovaevi-eli,F,40.0,160.0,54.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No Medal,160.0,54.0
"Susanne ""Susi"" Fellner",F,20.0,159.0,57.0,Germany,GER,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,159.0,57.0
Park Suk-Ja,F,18.0,170.0,58.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump,No Medal,170.0,58.0
Kwak Ok-Chol,M,27.0,174.0,81.0,North Korea,PRK,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,No Medal,174.0,81.0
Juraj Kadnr,M,23.0,180.0,72.0,Slovakia,SVK,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,180.0,72.0
Andr Georges Zoete,M,25.0,156.0,52.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",No Medal,156.0,52.0
"Sraphin ""Sra"" Martin",M,21.0,179.0,68.0,France,FRA,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 1,500 metres",No Medal,179.0,68.0
Andriy Vitaliyovych Kovenko,M,34.0,174.0,65.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,No Medal,174.0,65.0
Hana Makov,F,14.0,168.0,58.0,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,No Medal,168.0,58.0
"Viljo Eino ""Ville"" Ritola (Koukkari-)",M,28.0,175.0,66.0,Finland,FIN,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 10,000 metres",Gold,175.0,66.0
Erkki Juhani Latvala,M,28.0,181.0,70.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal,181.0,70.0
Mick Clohisey,M,30.0,180.0,64.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,No Medal,180.0,64.0
Yelena Petrovna Filippova,F,20.0,158.0,55.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Lightweight, Freestyle",No Medal,158.0,55.0
Sandra Jenkins (Rippel-),F,44.0,173.0,59.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Women's Curling,Bronze,173.0,59.0
Joseph Guillemot,M,20.0,160.0,55.0,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 5,000 metres",Gold,160.0,55.0
Fiona Jane McIntosh,F,28.0,170.0,63.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",No Medal,170.0,63.0
Emiliano Brembilla,M,25.0,185.0,78.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,No Medal,185.0,78.0
Rajmund Csnyi,M,24.0,172.0,68.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,No Medal,172.0,68.0
Michael sten Andersson,M,29.0,182.0,76.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,No Medal,182.0,76.0
Ursula Knab (-Schlicksupp),F,22.0,167.0,58.0,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,No Medal,167.0,58.0
Camilla Holth,F,23.0,168.0,52.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,No Medal,168.0,52.0
"Richard Otis ""Dick"" Meredith",M,27.0,170.0,70.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,170.0,70.0
Ion Voinescu,M,23.0,174.0,65.0,Romania,ROU,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,No Medal,174.0,65.0
Mohammed Samir Dad,M,21.0,180.0,67.0,India,IND,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,No Medal,180.0,67.0
Wolf-Hendrik Paul Beyer,M,20.0,200.0,82.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,No Medal,200.0,82.0
Pierre Harvey,M,26.0,183.0,71.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,183.0,71.0
Luca Dotto,M,22.0,192.0,80.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,No Medal,192.0,80.0
Park Sang-Young,M,20.0,177.0,73.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",No Medal,177.0,73.0
"Margarita Nikolayevna ""Rita"" Turova",F,27.0,178.0,62.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 20 kilometres Walk,No Medal,178.0,62.0
Kristian Brenden,M,21.0,188.0,74.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",No Medal,188.0,74.0
Issa Alassane-Oussni,M,27.0,180.0,76.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,No Medal,180.0,76.0
Magns Aron Hallgrmsson,M,24.0,192.0,110.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,No Medal,192.0,110.0
Li Hongxue,F,25.0,160.0,52.0,China,CHN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,No Medal,160.0,52.0
Paulna Fialkov,F,21.0,164.0,55.0,Slovakia,SVK,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,No Medal,164.0,55.0
Ansgar Wessling,M,31.0,193.0,85.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Bronze,193.0,85.0
Otto Dlabola,M,28.0,182.0,84.0,Czech Republic,CZE,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,No Medal,182.0,84.0
Erik Valdemar Pettersson,M,25.0,174.0,65.0,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",No Medal,174.0,65.0
Marek Bajan,M,23.0,178.0,68.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,No Medal,178.0,68.0
"Elizabeth ""Beezie"" Madden (Patton-)",F,52.0,168.0,63.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,168.0,63.0
"Melissa C. ""Missy"" Schwen-Ryan",F,28.0,172.0,65.0,United States,USA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxless Pairs,Bronze,172.0,65.0
Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,CUB,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Platform,No Medal,165.0,57.0
Elin Ida Mattsson-Marko-Varga,F,23.0,170.0,65.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No Medal,170.0,65.0
"Walton Glenn Eller, III",M,30.0,188.0,82.0,United States,USA,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Double Trap,No Medal,188.0,82.0
Hendrick Ramaala,M,28.0,172.0,60.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,No Medal,172.0,60.0
Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold,188.0,88.0
Peter Gunnar Liljedahl,M,25.0,186.0,88.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",No Medal,186.0,88.0
Alejandra Orozco Loza,F,19.0,156.0,47.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,No Medal,156.0,47.0
Valentin Demyanenko,M,32.0,193.0,93.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Silver,193.0,93.0
Anastasiya Aleksandrovna Novikova,F,22.0,150.0,53.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Featherweight,No Medal,150.0,53.0
Petter Andersen,M,32.0,172.0,70.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,500 metres",No Medal,172.0,70.0
Geir Hoff,M,26.0,184.0,82.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,184.0,82.0
"Susan Ada ""Susie"" Corrock (-Zoberski, -Luby)",F,20.0,163.0,55.0,United States,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal,163.0,55.0
Nina Dmytrivna Umanets,F,24.0,177.0,79.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Silver,177.0,79.0
Sin Hyeon-Ju,M,30.0,171.0,65.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No Medal,171.0,65.0
"Albert Edwin ""Bertie"" Hill",M,33.0,180.0,70.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No Medal,180.0,70.0
Muncef Ouardi,M,27.0,182.0,81.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Men's 1,000 metres",No Medal,182.0,81.0
Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,No Medal,168.0,54.0
Yung Yim King,F,29.0,152.0,50.0,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Individual",No Medal,152.0,50.0
Marina Glebowna Staden (Milowidowa-),F,28.0,176.0,67.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,No Medal,176.0,67.0
Bruno Kernen,M,29.0,180.0,88.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,No Medal,180.0,88.0
Eileen Marie Coparropa Alemn,F,23.0,170.0,70.0,Panama,PAN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,No Medal,170.0,70.0
Sarah Evanetz,F,21.0,167.0,60.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No Medal,167.0,60.0
Maartje Trijntje Scheepstra,F,24.0,157.0,57.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Silver,157.0,57.0
Joseph Arame,M,31.0,190.0,87.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,No Medal,190.0,87.0
Maria Barbara Kamrowska (-Nowak),F,26.0,174.0,67.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,No Medal,174.0,67.0
Patrizia Miserini,F,14.0,161.0,48.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Breaststroke,No Medal,161.0,48.0
Ieuan Wyn Owen,M,31.0,166.0,67.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,No Medal,166.0,67.0
Hansjrg Farbmacher,M,23.0,174.0,76.0,Austria,AUT,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,174.0,76.0
Carolyn Treacy,F,23.0,160.0,59.0,United States,USA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,No Medal,160.0,59.0
Zoi Kontogianni,F,18.0,165.0,47.0,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No Medal,165.0,47.0
Thomas Pfrang,M,23.0,195.0,94.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No Medal,195.0,94.0
Mnkhbatyn Urantsetseg,F,26.0,164.0,51.0,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,No Medal,164.0,51.0
